"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1091","D1096","Apr 2022",0,0,2453.59799319701
"D1091","D1118","Apr 2022",0,492,451.907646153226
"D1091","D1119","Apr 2022",0,11,1032.42679235169
"D1091","D1120","Apr 2022",0,0,1753.03982541096
"D1091","D1123","Apr 2022",0,0,2886.79359769372
"D1091","D1124","Apr 2022",0,0,1096.17504431568
"D1091","D1125","Apr 2022",0,0,1214.94321818327
"D1091","D1126","Apr 2022",0,0,2392.60726598691
"D1092","D1091","Apr 2022",0,0,2786.34395958965
"D1092","D1093","Apr 2022",0,0,2126.54639418002
"D1092","D1094","Apr 2022",0,0,2017.31049068789
"D1092","D1095","Apr 2022",0,0,1982.36741520244
"D1092","D1096","Apr 2022",10,1678,428.524109014869
"D1092","D1118","Apr 2022",0,0,2402.34729326589
"D1092","D1119","Apr 2022",0,0,1754.14856064159
"D1092","D1120","Apr 2022",0,22,1068.96612315693
"D1092","D1123","Apr 2022",5,1267,101.475528797307
"D1092","D1124","Apr 2022",0,0,1691.60570674467
"D1092","D1125","Apr 2022",0,0,1803.66126235011
"D1092","D1126","Apr 2022",0,1323,401.646547193706
"D1093","D1091","Apr 2022",0,6,726.188352226741
"D1093","D1092","Apr 2022",0,0,2126.54639418002
"D1093","D1094","Apr 2022",0,584,314.788593964895
"D1093","D1095","Apr 2022",2,1211,211.299987228011
"D1093","D1096","Apr 2022",0,0,1838.54964004014
"D1093","D1118","Apr 2022",0,29,561.509868868954
"D1093","D1119","Apr 2022",0,523,454.031869357208
"D1093","D1120","Apr 2022",0,8,1064.3473320367
"D1093","D1123","Apr 2022",0,0,2228.00220842288
"D1093","D1124","Apr 2022",1,179,520.138533897124
"D1093","D1125","Apr 2022",0,1,922.240601868051
"D1093","D1126","Apr 2022",0,0,1748.15189491452
"D1094","D1091","Apr 2022",0,0,995.394266598904
"D1094","D1092","Apr 2022",0,0,2017.31049068789
"D1094","D1093","Apr 2022",0,532,314.788593964895
"D1094","D1095","Apr 2022",2,2143,139.233249994292
"D1094","D1096","Apr 2022",0,0,1782.46332495915
"D1094","D1118","Apr 2022",0,0,876.244875027343
"D1094","D1119","Apr 2022",0,843,582.678312994908
